Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 04-05-20-SAT.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 20350.0, 
Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 04-05-21-SAT.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 120646.0, 
Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 04-05-21-SAT.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 26335.0, 
Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 04-05-23-SAT.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 42505.0, 
Problem : csplib-prob018, Essence : water_buckets.essence, Parameters : chris1.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 899.0, 
Problem : csplib-prob018, Essence : water_buckets.essence, Parameters : chris2.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 899.0, 
Problem : csplib-prob018, Essence : water_buckets.essence, Parameters : chris3.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 959.0, 
Problem : csplib-prob019, Essence : MagicSquares.essence, Parameters : 04.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 17347.0, 
Problem : csplib-prob019, Essence : MagicSquares.essence, Parameters : 06.param, Compact : noch, Number : O2, Model : model.eprime, Solver : minion, Options : SolverNodes, Time : 47513425.0, 
Problem : csplib-prob019, Essence : MagicSquares.essence, Parameters : 08.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATVars, Time : 21673.0, 
Problem : csplib-prob019, Essence : MagicSquares.essence, Parameters : 09.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATVars, Time : 36961.0, 
Problem : csplib-prob019, Essence : MagicSquares.essence, Parameters : 16.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 274155415.0, 
